# AcneSafeCheck — full comedogenic ingredient database

> The complete AcneSafeCheck database: 559 cosmetic ingredients, each with a comedogenicity
> rating (0 = non-comedogenic / acne safe … 5 = highly pore-clogging) and a fungal-acne
> (Malassezia) trigger flag. Compiled from published comedogenicity references (Fulton et al.
> 1984, PMID 6229554; Draelos & DiNardo 2006, PMID 16488305; AAD guidance). A rating reflects
> an ingredient's potential at high concentration, not a verdict on any finished formula.
> Licence: CC BY 4.0 — cite acnesafecheck.com. Machine-readable: https://acnesafecheck.com/data/acnesafecheck-ingredients.json and .csv. Docs: https://acnesafecheck.com/data.html

Last updated: 2026-07-02

Format: Name | rating/5 | category | fungal-acne trigger yes/no | detail page

Acai Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/acai-extract.html
Acetyl Glucosamine | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/acetyl-glucosamine.html
Acetyl Hexapeptide-8 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/acetyl-hexapeptide-8.html
Acetylated Lanolin | 4/5 | Occlusive | FA-trigger: no | https://acnesafecheck.com/ingredient/acetylated-lanolin.html
Acetylated Lanolin Alcohol | 4/5 | Occlusive | FA-trigger: no | https://acnesafecheck.com/ingredient/acetylated-lanolin-alcohol.html
Acrylates/C10-30 Alkyl Acrylate Crosspolymer | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/acrylates-c10-30-alkyl-acrylate-crosspolymer.html
Adansonia Digitata Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/adansonia-digitata-extract.html
Adapalene | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/adapalene.html
Adenosine | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/adenosine.html
Agar | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/agar.html
Alcohol Denat. | 0/5 | Solvent | FA-trigger: no | https://acnesafecheck.com/ingredient/alcohol-denat.html
Algae Extract | 5/5 | Marine | FA-trigger: no | https://acnesafecheck.com/ingredient/algae-extract.html
Algin | 4/5 | Thickener | FA-trigger: no | https://acnesafecheck.com/ingredient/algin.html
Allantoin | 0/5 | Soothing | FA-trigger: no | https://acnesafecheck.com/ingredient/allantoin.html
Allantoin Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/allantoin-extract.html
Allium Cepa Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/allium-cepa-extract.html
Aloe Barbadensis Leaf Juice | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/aloe-barbadensis-leaf-juice.html
Aloe Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/aloe-extract.html
Aloe Ferox Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/aloe-ferox-leaf-extract.html
Aloe Juice Powder | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/aloe-juice-powder.html
Aloe Powder | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/aloe-powder.html
Aloe Vera | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/aloe-vera.html
Alpha Lipoic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/alpha-lipoic-acid.html
Alpha-Arbutin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/alpha-arbutin.html
Aluminum Starch Octenylsuccinate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/aluminum-starch-octenylsuccinate.html
Aminomethyl Propanol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/aminomethyl-propanol.html
Amla Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/amla-extract.html
Ammonium Lactate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/ammonium-lactate.html
Amodimethicone | 1/5 | Silicone | FA-trigger: no | https://acnesafecheck.com/ingredient/amodimethicone.html
Anisic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/anisic-acid.html
Apple Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/apple-extract.html
Apricot Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/apricot-extract.html
Apricot Kernel Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/apricot-kernel-oil.html
Arbutin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/arbutin.html
Argan Oil | 0/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/argan-oil.html
Argireline | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/argireline.html
Arnica Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/arnica-extract.html
Arnica Montana Flower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/arnica-montana-flower-extract.html
Artemisia Vulgaris Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/artemisia-vulgaris-extract.html
Artichoke Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/artichoke-leaf-extract.html
Ascorbic Acid | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/ascorbic-acid.html
Ascorbyl Glucoside | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/ascorbyl-glucoside.html
Ascorbyl Palmitate | 0/5 | Functional | FA-trigger: yes | https://acnesafecheck.com/ingredient/ascorbyl-palmitate.html
Ashwagandha Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/ashwagandha-extract.html
Asiaticoside | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/asiaticoside.html
Asparagus Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/asparagus-extract.html
Avena Sativa Kernel Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/avena-sativa-kernel-extract.html
Avobenzone | 0/5 | Sunscreen | FA-trigger: no | https://acnesafecheck.com/ingredient/avobenzone.html
Avocado Oil | 3/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/avocado-oil.html
Azadirachta Indica Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/azadirachta-indica-extract.html
Azelaic Acid | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/azelaic-acid.html
Bakuchiol | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/bakuchiol.html
Bamboo Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/bamboo-extract.html
Bambusa Vulgaris Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/bambusa-vulgaris-extract.html
Banana Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/banana-extract.html
Baobab Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/baobab-extract.html
Barley Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/barley-extract.html
Basil Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/basil-extract.html
Beeswax | 2/5 | Wax | FA-trigger: no | https://acnesafecheck.com/ingredient/beeswax.html
Beetroot Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/beetroot-extract.html
Behenyl Alcohol | 1/5 | Fatty alcohol | FA-trigger: yes | https://acnesafecheck.com/ingredient/behenyl-alcohol.html
Bentonite | 0/5 | Clay | FA-trigger: no | https://acnesafecheck.com/ingredient/bentonite.html
Benzoyl Peroxide | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/benzoyl-peroxide.html
Benzyl Alcohol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/benzyl-alcohol.html
Bergamot Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/bergamot-extract.html
Beta-Glucan | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/beta-glucan.html
Betaine | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/betaine.html
BHA Preservative | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/bha-preservative.html
BHT | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/bht.html
Bifida Ferment Lysate | 0/5 | Botanical extract | FA-trigger: yes | https://acnesafecheck.com/ingredient/bifida-ferment-lysate.html
Bilberry Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/bilberry-extract.html
Biotin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/biotin.html
Birch Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/birch-extract.html
Black Tea Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/black-tea-extract.html
Blackberry Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/blackberry-extract.html
Blueberry Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/blueberry-extract.html
Borage Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/borage-oil.html
Boron Nitride | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/boron-nitride.html
Boswellia Serrata Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/boswellia-serrata-extract.html
Brahmi Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/brahmi-extract.html
Broccoli Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/broccoli-extract.html
Burdock Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/burdock-root-extract.html
Butyl Stearate | 3/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/butyl-stearate.html
Butylene Glycol | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/butylene-glycol.html
Cabbage Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cabbage-extract.html
Cactus Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cactus-extract.html
Caffeine | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/caffeine.html
Calcium Carbonate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/calcium-carbonate.html
Calcium Chloride | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/calcium-chloride.html
Calcium Pantothenate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/calcium-pantothenate.html
Calendula Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/calendula-extract.html
Calendula Officinalis Flower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/calendula-officinalis-flower-extract.html
Camellia / Tsubaki Oil | 1/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/camellia-tsubaki-oil.html
Camellia Japonica Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/camellia-japonica-leaf-extract.html
Camellia Sinensis Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/camellia-sinensis-leaf-extract.html
Candelilla Wax | 1/5 | Wax | FA-trigger: no | https://acnesafecheck.com/ingredient/candelilla-wax.html
